gene	gene_start	gene_end	CHROM	gene_length
98	Gm28065	20836661	20839689	1	3028
99	6720483E21Rik	20888650	20890473	1	1823
100	Paqr8	20890606	20939650	1	49044
101	Efhc1	20951688	20990841	1	39153
102	Tram2	20996299	21079229	1	82930
103	Gm28287	21080114	21081748	1	1634
104	Tmem14a	21218575	21230167	1	11592
105	Gsta3	21240589	21265661	1	25072
106	Gm28836	21250359	21271593	1	21234
107	Khdc1a	21349641	21352200	1	2559
108	Khdc1c	21368331	21370845	1	2514
109	Khdc1b	21383556	21386373	1	2817
110	Kcnq5	21398408	21961942	1	563534
111	Rims1	22286251	22805724	1	519473
112	Gm29506	23048295	23235673	1	187378
113	4933415F23Rik	23100473	23102253	1	1780
114	Gm27028	23291537	23291935	1	398
115	Gm29107	23293729	23294075	1	346
116	Ogfrl1	23370268	23397541	1	27273
117	Gm28822	23574587	23596664	1	22077
118	B3gat2	23761926	23849158	1	87232
119	Smap1	23845625	23922317	1	76692
120	Sdhaf4	23995939	24005656	1	9717
121	Fam135a	24011245	24100194	1	88949
122	Col9a1	24177610	24252684	1	75074
123	Col19a1	24263994	24587472	1	323478
124	Lmbrd1	24678926	24766301	1	87375
125	Gm28237	24963209	24964976	1	1767
126	Gm29414	25026581	25027232	1	651
127	Adgrb3	25067550	25829707	1	762157
128	4931408C20Rik	26681814	26687460	1	5646
129	Gm5524	27884046	27902396	1	18350
130	Gm597	28776117	28780252	1	4135
131	Gm9898	30718560	30719962	1	1402
132	Phf3	30802339	30873581	1	71242
133	Ptp4a1	30940302	30949770	1	9468
134	Gm5698	30977243	30977968	1	725
135	4931428L18Rik	30997842	31222617	1	224775
136	Gm28644	31041919	31043675	1	1756
137	Gm29128	31136026	31150105	1	14079
138	Lgsn	31176401	31204725	1	28324
139	Pih1d3	31222838	31224288	1	1450
140	Khdrbs2	32172714	32658568	1	485854
141	Gm5415	32543686	32547294	1	3608
142	Gm37724	33065130	33066350	1	1220
143	Gm37591	33212774	33215475	1	2701
144	Prim2	33453810	33669795	1	215985
145	Rab23	33719895	33742564	1	22669
146	Bag2	33745484	33757795	1	12311
147	Zfp451	33761545	33814527	1	52982
148	Bend6	33852052	33907816	1	55764
149	Dst	33908225	34307592	1	399367
150	Gm26788	34165856	34178271	1	12415
151	Gm37958	34329433	34330307	1	874
152	Gm37233	34427002	34433264	1	6262
153	Ccdc115	34436670	34439672	1	3002
154	Gm28306	34439511	34444730	1	5219
155	Imp4	34439851	34449356	1	9505
156	Ptpn18	34459765	34473784	1	14019
157	Gm28417	34470155	34473148	1	2993
158	4930568A12Rik	34477167	34485611	1	8444
159	Prss39	34498410	34503063	1	4653
160	Cfc1	34535648	34544313	1	8665
161	Prss40	34543968	34560943	1	16975
162	1700101I19Rik	34579202	34579711	1	509
163	Amer3	34579657	34590944	1	11287
164	Arhgef4	34678188	34812739	1	134551
165	Gm38336	34809360	34811908	1	2548
166	Fam168b	34813226	34843065	1	29839
167	Plekhb2	34849992	34879580	1	29588
168	Gm37068	35625606	35651297	1	25691
169	Gm28415	35806974	35810462	1	3488
170	1110002O04Rik	35879845	35881119	1	1274
171	Gm37146	35981960	35986373	1	4413
172	Gm33222	36002985	36011044	1	8059
173	4930535G08Rik	36011072	36011894	1	822
174	Hs6st1	36068400	36106446	1	38046
175	Gm37335	36105384	36106446	1	1062
176	Gm33280	36132042	36138746	1	6704
177	Uggt1	36140027	36244305	1	104278
178	Neurl3	36264597	36273435	1	8838
179	Arid5a	36307754	36324029	1	16275
180	4930403P22Rik	36332708	36333420	1	712
181	Kansl3	36335730	36369181	1	33451
182	Fer1l5	36372291	36422107	1	49816
183	Lman2l	36422065	36445271	1	23206
184	Cnnm4	36471620	36508764	1	37144
185	Cnnm3	36511867	36528237	1	16370
186	Gm38033	36527534	36528237	1	703
187	Ankrd23	36530188	36536521	1	6333
188	Ankrd39	36537507	36547219	1	9712
189	Sema4c	36548639	36558349	1	9710
190	D430040D24Rik	36558359	36565613	1	7254
191	Fam178b	36562692	36683183	1	120491
192	Cox5b	36691484	36693681	1	2197
193	Actr1b	36701784	36714422	1	12638
194	4933424G06Rik	36714538	36757953	1	43415
195	Gm33533	36739048	36744792	1	5744
196	Zap70	36761798	36782818	1	21020
197	Tmem131	36792194	36939822	1	147628
198	Gm38115	36913601	36916539	1	2938
199	Vwa3b	37029333	37187607	1	158274
200	Gm37020	37132273	37133264	1	991
201	Cnga3	37219205	37263384	1	44179
202	Inpp4a	37299891	37410736	1	110845
203	4930439A04Rik	37329667	37334156	1	4489
204	Coa5	37417084	37430103	1	13019
205	Unc50	37430170	37439124	1	8954
206	Mgat4a	37439340	37541016	1	101676
207	2010300C02Rik	37611677	37720085	1	108408
208	4930556I23Rik	37614259	37615372	1	1113
209	Tsga10	37754776	37865079	1	110303
210	Gm26805	37865299	37871388	1	6089
211	Lipt1	37872206	37876228	1	4022
212	Mitd1	37874801	37890407	1	15606
213	Mrpl30	37890477	37898535	1	8058
214	Lyg2	37905923	37916493	1	10570
215	Gm15457	37933596	37954136	1	20540
216	Lyg1	37946736	37957759	1	11023
217	Txndc9	37985189	37997315	1	12126
218	Eif5b	37998010	38055579	1	57569
219	Rev1	38052786	38129662	1	76876
220	Gm37062	38076295	38077305	1	1010
221	Gm5099	38132083	38159892	1	27809
222	Aff3	38177327	38664955	1	487628
223	Gm16150	38235420	38245603	1	10183
224	Gm16151	38307902	38311930	1	4028
225	Gm16152	38384949	38393974	1	9025
226	Lonrf2	38793645	38836711	1	43066
227	Chst10	38863877	38898161	1	34284
228	Gm37707	38884754	38888072	1	3318
229	Nms	38939149	38950276	1	11127
230	Pdcl3	38985608	38997238	1	11630
231	Gm37821	39048648	39057637	1	8989
232	Npas2	39194212	39363236	1	169024
233	Rpl31	39367842	39371911	1	4069
234	Tbc1d8	39371492	39478755	1	107263
235	Cnot11	39534992	39546889	1	11897
236	Gm15832	39547570	39552002	1	4432
237	Rnf149	39551296	39577405	1	26109
238	Creg2	39618406	39651474	1	33068
239	D930019O06Rik	39650176	39657390	1	7214
240	Rfx8	39665301	39720997	1	55696
241	Gm3646	39804148	39805332	1	1184
242	1700066B17Rik	39839175	39845699	1	6524
243	Map4k4	39900913	40026310	1	125397
244	Gm16894	40076228	40085851	1	9623
245	Il1r2	40084698	40125231	1	40533
246	Il1r1	40225080	40317257	1	92177
247	Il1rl2	40324690	40367562	1	42872
248	Il1rl1	40439627	40465415	1	25788
249	Il18r1	40466006	40500854	1	34848
250	Il18rap	40515362	40551705	1	36343
251	Gm35801	40572188	40580662	1	8474
252	Slc9a4	40580081	40630725	1	50644
253	Slc9a2	40680574	40769273	1	88699
254	Gm37623	40691442	40697636	1	6194
255	Gm37915	40771385	40785343	1	13958
256	Mfsd9	40772041	40790687	1	18646
257	Tmem182	40805601	40856887	1	51286
258	4930448I06Rik	41167587	41181252	1	13665
259	Gm28634	41526931	41529543	1	2612
260	Gm29260	41781808	41939560	1	157752
261	Gm9915	42229726	42231108	1	1382
262	Gm29664	42238233	42238695	1	462
263	Gm28175	42261857	42304412	1	42555
264	Gm28140	42324590	42355937	1	31347
265	Pantr1	42590782	42694808	1	104026
266	Gm20646	42694925	42744791	1	49866
267	Pou3f3	42695768	42703176	1	7408
268	Pantr2	42707061	42713454	1	6393
269	Dalir	42750712	42752881	1	2169
270	Mrps9	42851233	42905682	1	54449
271	Gpr45	42952963	43035456	1	82493
272	Tgfbrap1	43047200	43098622	1	51422
273	Gm28782	43056267	43057134	1	867
274	8430432A02Rik	43092588	43093835	1	1247
275	AI597479	43098710	43115947	1	17237
276	Fhl2	43123290	43196984	1	73694
277	Gm29040	43250156	43302925	1	52769
278	Nck2	43445751	43570515	1	124764
279	Ecrg4	43730602	43742578	1	11976
280	Gm29155	43741961	43743895	1	1934
281	Gm29157	43742915	43743526	1	611
282	Gm29156	43745784	43746282	1	498
283	Uxs1	43746966	43827800	1	80834
284	Tpp2	43934015	44003000	1	68985
285	Mettl21c	44009408	44020006	1	10598
286	Gm8251	44055872	44079746	1	23874
287	Tex30	44086616	44102438	1	15822
288	Poglut2	44106546	44118808	1	12262
289	Bivm	44119162	44144510	1	25348
290	Ercc5	44147847	44181260	1	33413
291	Mettl21e	44204070	44218961	1	14891
292	Gm28893	44392809	44394447	1	1638
293	Gulp1	44551511	44796838	1	245327
294	4930521E06Rik	44739676	44744949	1	5273
295	Col3a1	45311538	45349706	1	38168
296	Col5a2	45374321	45503282	1	128961
297	Wdr75	45795166	45823619	1	28453
298	Gm5269	45889525	45890273	1	748
299	Slc40a1	45908068	45925582	1	17514
300	Dnah7b	46066738	46373550	1	306812
301	Dnah7c	46425592	46807476	1	381884
302	Slc39a10	46835640	46892852	1	57212
303	Gm28151	46849529	46850479	1	950
304	Gm28826	47153461	47189071	1	35610
305	C230029F24Rik	49244616	49340443	1	95827
306	4933411E06Rik	50107470	50108962	1	1492
307	Gm29665	50397552	50398079	1	527
308	Gm28321	50815375	50817701	1	2326
309	Gm28322	50904444	50905918	1	1474
310	Tmeff2	50927519	51187270	1	259751
311	Gm28319	51138281	51141222	1	2941
312	Gm28320	51148309	51150581	1	2272
313	Gm29325	51195221	51197748	1	2527
314	9330175M20Rik	51218386	51333779	1	115393
315	Cavin2	51289126	51302960	1	13834
316	1700072G22Rik	51457932	51458931	1	999
317	Nabp1	51465862	51478399	1	12537
318	Gm17767	51509505	51596718	1	87213
319	Gm28055	51697125	51746943	1	49818
320	Myo1b	51749765	51916071	1	166306
321	Gm29453	51847840	51849118	1	1278
322	Gm28323	51877110	51879608	1	2498
323	Stat4	51987148	52107189	1	120041
324	Gm31812	52108121	52113751	1	5630
325	Stat1	52119455	52161865	1	42410
326	Gls	52163448	52233223	1	69775
327	Nab1	52457294	52500679	1	43385
328	Gm553	52522902	52582679	1	59777
329	Gm28178	52570014	52580291	1	10277
330	Nemp2	52630703	52651919	1	21216
331	Mfsd6	52656286	52727462	1	71176
332	Gm29670	52702272	52704762	1	2490
333	Inpp1	52785427	52817688	1	32261
334	Hibch	52845013	52920981	1	75968
335	1700019D03Rik	52925183	53020179	1	94996
336	Mstn	53061640	53068079	1	6439
337	1700019A02Rik	53158577	53187636	1	29059
338	Pms1	53189187	53297018	1	107831
339	Gm28777	53196113	53197695	1	1582
340	Ormdl1	53297095	53310309	1	13214
341	Osgepl1	53313624	53326343	1	12719
342	Asnsd1	53344617	53352752	1	8135
343	Asdurf	53348479	53352619	1	4140
344	Dnah7a	53397006	53706761	1	309755
345	Stk17b	53755506	53785224	1	29718
346	Hecw2	53806882	54195034	1	388152
347	Ccdc150	54250683	54368727	1	118044
348	Gtf3c3	54396004	54438971	1	42967
349	Gm34066	54443404	54456763	1	13359
350	Pgap1	54472994	54557682	1	84688
351	Ankrd44	54645340	54926387	1	281047
352	4930444A19Rik	54690496	54767524	1	77028
353	Sf3b1	54985169	55027481	1	42312
354	Coq10b	55052770	55072702	1	19932
355	Hspd1	55077835	55088024	1	10189
356	Hspe1	55088132	55091307	1	3175
357	Mob4	55131231	55154899	1	23668
358	Rftn2	55170159	55226782	1	56623
359	Gm10561	55226251	55235622	1	9371
360	Mars2	55237177	55248470	1	11293
361	Boll	55268856	55360741	1	91885
362	Plcl1	55405921	55754285	1	348364
363	9130227L01Rik	55931241	55972098	1	40857
364	1700003I22Rik	56018978	56020203	1	1225
365	Gm28240	56531824	56533876	1	2052
366	Hsfy2	56636044	56637435	1	1391
367	Satb2	56793981	56972502	1	178521
368	9130024F11Rik	56971480	57042515	1	71035
369	1700126A01Rik	57127340	57129400	1	2060
370	BC055402	57200645	57214993	1	14348
371	4930558J18Rik	57359222	57377544	1	18322
372	1700066M21Rik	57377620	57385423	1	7803
373	Tyw5	57388237	57407101	1	18864
374	Maip1	57406328	57417953	1	11625
375	Spats2l	57774861	57948394	1	173533
376	Gm17234	57909835	57917111	1	7276
377	Kctd18	57956072	58018956	1	62884
378	Sgo2a	57995971	58025899	1	29928
379	Aox1	58029931	58106413	1	76482
380	Aox3	58113136	58200698	1	87562
381	Aox4	58210397	58268597	1	58200
382	Gm15759	58254117	58315656	1	61539
383	Aox2	58278326	58380259	1	101933
384	Bzw1	58392898	58407353	1	14455
385	Clk1	58410189	58424066	1	13877
386	Ppil3	58430997	58445486	1	14489
387	Nif3l1	58445267	58481816	1	36549
388	Orc2	58462771	58505109	1	42338
389	Gm15834	58505155	58523230	1	18075
390	Fam126b	58522806	58586323	1	63517
391	Ndufb3	58586384	58595964	1	9580
392	Flacc1	58646903	58695989	1	49086
393	Cflar	58711560	58758884	1	47324
394	Casp8	58795374	58847503	1	52129
395	Trak2	58900449	58973430	1	72981
396	Stradb	58973522	58995715	1	22193
397	C2cd6	58997116	59094893	1	97777
398	AC169382.1	58997123	59003539	1	6416
399	Gm29018	59014224	59059481	1	45257
400	Tmem237	59100590	59120094	1	19504
401	G730003C15Rik	59119833	59122141	1	2308
402	Mpp4	59120935	59163389	1	42454
403	Gm29017	59151047	59169320	1	18273
404	Als2	59162926	59237231	1	74305
405	Cdk15	59256906	59352993	1	96087
406	Gm29016	59378930	59392299	1	13369
407	Fzd7	59482424	59486955	1	4531
408	Gm26813	59488480	59492605	1	4125
409	Gm973	59516264	59634509	1	118245
410	Gm28411	59532991	59548788	1	15797
411	1700122D07Rik	59534811	59537229	1	2418
412	Sumo1	59586558	59670792	1	84234
413	Nop58	59685009	59719044	1	34035
414	Bmpr2	59763400	59879014	1	115614
415	Fam117b	59913006	59985346	1	72340
416	Ica1l	59989075	60043122	1	54047
417	Wdr12	60069785	60097908	1	28123
418	Carf	60098247	60151032	1	52785
419	Nbeal1	60180599	60338328	1	157729
420	Cyp20a1	60343323	60388060	1	44737
421	Abi2	60409619	60481158	1	71539
422	Raph1	60482292	60566779	1	84487
423	Cd28	60716800	60763163	1	46363
424	Gm11579	60776665	60781834	1	5169
425	2310016D23Rik	60778843	60803790	1	24947
426	Ctla4	60887000	60912716	1	25716
427	Icos	60977927	61000320	1	22393
428	Gm28083	61265291	61271514	1	6223
429	Gm11587	61301909	61307746	1	5837
430	9530026F06Rik	61378432	61395904	1	17472
431	Gm11588	61440101	61469475	1	29374
432	Gm28449	61474951	61476028	1	1077
433	4930587A21Rik	61616943	61621149	1	4206
434	Pard3b	61638824	62642284	1	1003460
435	Pard3bos1	61767415	61851462	1	84047
436	Pard3bos2	62131195	62136109	1	4914
437	Pard3bos3	62456725	62499261	1	42536
438	Gm29084	62534491	62535942	1	1451
439	Nrp2	62703285	62818695	1	115410
440	Gm29083	62714723	62718073	1	3350
441	Gm4208	62821355	62832370	1	11015
442	Ino80d	62958418	63091929	1	133511
443	Ino80dos	63114471	63158290	1	43819
444	Gm20342	63117118	63126837	1	9719
445	Ndufs1	63143596	63176822	1	33226
446	Eef1b2	63176825	63180486	1	3661
447	Gpr1	63182691	63214543	1	31852
448	Platr12	63200313	63207614	1	7301
449	Gm11608	63266848	63273120	1	6272
450	Zdbf2	63273265	63314576	1	41311
451	Adam23	63445895	63596276	1	150381
452	Gm39653	63615968	63620819	1	4851
453	Dytn	63622851	63686927	1	64076
454	Mdh1b	63698819	63730318	1	31499
455	Fastkd2	63730614	63754655	1	24041
456	4933402D24Rik	63754907	63769267	1	14360
457	Gm13749	63964727	63968999	1	4272
458	Klf7	64029447	64121491	1	92044
459	Gm13748	64078654	64090782	1	12128
460	Gm28981	64185991	64303043	1	117052
461	Creb1	64532819	64604548	1	71729
462	Mettl21a	64606473	64617242	1	10769
463	Gm28982	64617784	64626033	1	8249
464	Gm29152	64649935	64652756	1	2821
465	2810408I11Rik	64679871	64690659	1	10788
466	Ccnyl1	64690455	64725644	1	35189
467	Fzd5	64730558	64737751	1	7193
468	Plekhm3	64785983	64956824	1	170841
469	Akr1cl	65012689	65032759	1	20070
470	Cryge	65048554	65051149	1	2595
471	Crygd	65061872	65063452	1	1580
472	Crygc	65071525	65073689	1	2164
473	Crygb	65080219	65082288	1	2069
474	Cryga	65100389	65103373	1	2984
475	D630023F18Rik	65105285	65123214	1	17929
476	Idh1	65158618	65186479	1	27861
477	Pikfyve	65186702	65278695	1	91993
478	Pth2r	65311257	65389244	1	77987
479	Crygf	65926520	65928307	1	1787
480	Map2	66175316	66442583	1	267267
481	Gm10558	66322276	66328796	1	6520
482	Unc80	66468367	66699148	1	230781
483	Rpe	66700831	66719805	1	18974
484	Kansl1l	66719363	66817546	1	98183
485	Acadl	66830839	66863277	1	32438
486	Myl1	66924295	66945143	1	20848
487	Lancl1	67000517	67038872	1	38355
488	Cps1	67123026	67231259	1	108233
489	Gm15668	67249200	67323609	1	74409
490	Gm15669	67792481	67805324	1	12843
491	Gm15671	68024243	68025763	1	1520
492	Erbb4	68032186	69108059	1	1075873
493	Gm16076	69091913	69106740	1	14827
494	Gm28497	69441056	69444084	1	3028
495	Gm29113	69490357	69493788	1	3431
496	Gm29114	69513932	69547707	1	33775
497	Ikzf2	69531214	69685821	1	154607
498	Gm29112	69595036	69598522	1	3486
499	Gm28112	69660187	69662061	1	1874
500	Spag16	69826988	70725132	1	898144
501	Vwc2l	70725715	70885397	1	159682
502	Bard1	71027498	71103146	1	75648
503	Abca12	71242276	71414910	1	172634
504	Atic	71557150	71579631	1	22481
505	Fn1	71585524	71653200	1	67676
506	Apol7d	71653335	71662843	1	9508
507	Gm8883	71888112	71891204	1	3092
508	Gm28818	71894068	71917125	1	23057
509	4933417E11Rik	71958998	72005195	1	46197
510	4930556G22Rik	71983681	72038731	1	55050
511	Gm4319	72107155	72122001	1	14846
512	Mreg	72159442	72212307	1	52865
513	Pecr	72259172	72284314	1	25142
514	Tmem169	72284369	72303104	1	18735
515	Xrcc5	72307427	72394952	1	87525
516	March4	72427112	72536930	1	109818
517	Smarcal1	72583251	72633134	1	49883
518	Gm39662	72641188	72642963	1	1775
519	Ankar	72642980	72700579	1	57599
520	Rpl37a	72711290	72713813	1	2523
521	Igfbp2	72824503	72852474	1	27971
522	Igfbp5	72857932	72874884	1	16952
523	1700027A15Rik	72984844	73024724	1	39880
524	Tnp1	73015074	73015909	1	835
525	Gm29185	73269064	73306360	1	37296
526	Pinc	73390775	73407569	1	16794
527	D530049I02Rik	73398968	73430790	1	31822
528	C530043A13Rik	73523201	73529790	1	6589
529	Gm29186	73528937	73536349	1	7412
530	6030407O03Rik	73618088	73864466	1	246378
531	Gm29183	73750321	73841917	1	91596
532	Tns1	73910232	74124449	1	214217
533	Rufy4	74125541	74148223	1	22682
534	Cxcr2	74153991	74161246	1	7255
535	Cxcr1	74191785	74194631	1	2846
536	Arpc2	74236497	74268209	1	31712
537	Gpbar1	74278550	74279624	1	1074
538	Aamp	74279840	74284738	1	4898
539	Gm28364	74281161	74281866	1	705
540	Pnkd	74285045	74353684	1	68639
541	Tmbim1	74288247	74304405	1	16158
542	Gm29358	74295641	74298867	1	3226
543	Catip	74362108	74369321	1	7213
544	Slc11a1	74375203	74386062	1	10859
545	Ctdsp1	74391509	74397285	1	5776
546	Vil1	74409376	74435559	1	26183
547	Usp37	74437730	74544284	1	106554
548	Cnot9	74506058	74530842	1	24784
549	Plcd4	74542888	74567794	1	24906
550	Zfp142	74565127	74588028	1	22901
551	Bcs1l	74588300	74592443	1	4143
552	Rnf25	74593748	74601397	1	7649
553	Stk36	74601445	74636894	1	35449
554	Ttll4	74661745	74703730	1	41985
555	Cyp27a1	74713574	74737892	1	24318
556	Prkag3	74738922	74748955	1	10033
557	Wnt6	74771892	74785322	1	13430
558	Gm29539	74774943	74777405	1	2462
559	Wnt10a	74791516	74804179	1	12663
560	Gm16582	74850895	74879953	1	29058
561	Cdk5r2	74854934	74857732	1	2798
562	Fev	74881509	74885419	1	3910
563	Cryba2	74889934	74893143	1	3209
564	Cfap65	74902071	74935599	1	33528
565	Gm15841	74902371	74907653	1	5282
566	Ihh	74945315	74951672	1	6357
567	Nhej1	74967139	75046639	1	79500
568	Slc23a3	75125541	75133890	1	8349
569	Cnppd1	75134554	75142638	1	8084
570	Retreg2	75142778	75147909	1	5131
571	Zfand2b	75168646	75171629	1	2983
572	Abcb6	75171717	75180392	1	8675
573	Atg9a	75180865	75192196	1	11331
574	Ankzf1	75192160	75199387	1	7227
575	Glb1l	75198243	75210778	1	12535
576	Stk16	75210838	75215606	1	4768
577	Tuba4a	75214228	75219294	1	5066
578	A630095N17Rik	75220256	75232090	1	11834
579	Dnajb2	75236406	75245688	1	9282
580	Ptprn	75247027	75264213	1	17186
581	Gm28294	75252322	75257427	1	5105
582	Resp18	75272199	75278415	1	6216
583	Gm28902	75272605	75275652	1	3047
584	Dnpep	75307896	75317659	1	9763
585	Des	75360329	75368579	1	8250
586	Gm15179	75368212	75375012	1	6800
587	Speg	75375297	75432320	1	57023
588	Gm15178	75392131	75396363	1	4232
589	Gmppa	75435930	75443174	1	7244
590	Asic4	75450436	75474340	1	23904
591	Chpf	75474575	75479307	1	4732
592	Tmem198	75479532	75485693	1	6161
593	Obsl1	75485825	75506361	1	20536
594	Inha	75507077	75510366	1	3289
595	Stk11ip	75521529	75537335	1	15806
596	Slc4a3	75546266	75562172	1	15906
597	Gm29065	76016658	76018756	1	2098
598	Gm29069	76420692	76528422	1	107730
599	Gm17751	76489133	76502028	1	12895
600	Gm816	76890472	77027792	1	137320
601	Epha4	77367185	77515088	1	147903
602	Gm28386	77515280	77517128	1	1848
603	Gm28387	77942966	77972376	1	29410
604	Pax3	78101270	78197134	1	95864
605	Sgpp2	78310345	78420289	1	109944
606	Gm28410	78325628	78340106	1	14478
607	Farsb	78417975	78488859	1	70884
608	BC035947	78497026	78512158	1	15132
609	Mogat1	78511169	78538171	1	27002
610	5730419F03Rik	78595031	78609508	1	14477
611	Gm29611	78615467	78620165	1	4698
612	Acsl3	78657825	78707743	1	49918
613	Utp14b	78658038	78671512	1	13474
614	Gm29536	78791623	79224511	1	432888
615	Kcne4	78816758	78820028	1	3270
616	Gm29187	78821258	78822652	1	1394
617	Scg2	79434669	79440120	1	5451
618	Ap1s3	79606876	79671972	1	65096
619	Wdfy1	79702262	79761769	1	59507
620	Mrpl44	79776018	79781445	1	5427
621	Serpine2	79794197	79858696	1	64499
622	9830004L10Rik	80184719	80192028	1	7309
623	Fam124b	80200325	80218473	1	18148
624	2310015K22Rik	80225044	80228792	1	3748
625	Cul3	80264923	80340480	1	75557
626	Gm29125	80382822	80386251	1	3429
627	1700016L21Rik	80445940	80479867	1	33927
628	Gm45261	80449597	80461448	1	11851
629	Dock10	80501073	80758448	1	257375
630	Nyap2	81077583	81341764	1	264181
631	Irs1	82233101	82291416	1	58315
632	Gm9747	82233112	82235933	1	2821
633	Rhbdd1	82316452	82445366	1	128914
634	Gm28940	82392493	82402746	1	10253
635	Col4a4	82448423	82586849	1	138426
636	Col4a3	82586976	82722059	1	135083
637	C430014B12Rik	82691928	82725117	1	33189
638	Mff	82724890	82752390	1	27500
639	Gm28941	82739691	82740707	1	1016
640	Tm4sf20	82756649	82768461	1	11812
641	Gm47791	82770824	82771243	1	419
642	Gm28942	82819835	82820377	1	542
643	Agfg1	82839483	82901182	1	61699
644	A030005L19Rik	82913325	82914130	1	805
645	A030014E15Rik	82924917	82925712	1	795
646	Gm6217	82930571	82931399	1	828
647	A030003K21Rik	82942559	82943388	1	829
648	Gm7544	82955186	82956013	1	827
649	Gm47955	82960286	82960924	1	638
650	Gm47959	83000548	83001480	1	932
651	Slc19a3	83012523	83038448	1	25925
652	Krtap28-10	83041524	83042480	1	956
653	Gm47969	83044932	83045946	1	1014
654	A030005K14Rik	83058286	83059378	1	1092
655	Krtap28-13	83060930	83061921	1	991
656	Ccl20	83116766	83119166	1	2400
657	Daw1	83159762	83210574	1	50812
