	bin_id	CHROM	start	end	width
chr1:11724328-11955069	chr1:11724328-11955069	1	11724328	11955069	230741
chr1:11955069-12186818	chr1:11955069-12186818	1	11955069	12186818	231749
chr1:12186818-12410804	chr1:12186818-12410804	1	12186818	12410804	223986
chr1:12410804-13677584	chr1:12410804-13677584	1	12410804	13677584	1266780
chr1:13677584-13893991	chr1:13677584-13893991	1	13677584	13893991	216407
chr1:13893991-14110195	chr1:13893991-14110195	1	13893991	14110195	216204
chr1:14110195-14324312	chr1:14110195-14324312	1	14110195	14324312	214117
chr1:14324312-14547843	chr1:14324312-14547843	1	14324312	14547843	223531
chr1:14547843-14759654	chr1:14547843-14759654	1	14547843	14759654	211811
chr1:14759654-14977412	chr1:14759654-14977412	1	14759654	14977412	217758
chr1:14977412-15195891	chr1:14977412-15195891	1	14977412	15195891	218479
chr1:15195891-15416704	chr1:15195891-15416704	1	15195891	15416704	220813
chr1:15416704-15656764	chr1:15416704-15656764	1	15416704	15656764	240060
chr1:15656764-15902405	chr1:15656764-15902405	1	15656764	15902405	245641
chr1:15902405-16134290	chr1:15902405-16134290	1	15902405	16134290	231885
chr1:16134290-17108710	chr1:16134290-17108710	1	16134290	17108710	974420
chr1:17108710-17326678	chr1:17108710-17326678	1	17108710	17326678	217968
chr1:17326678-17567445	chr1:17326678-17567445	1	17326678	17567445	240767
chr1:17567445-17777104	chr1:17567445-17777104	1	17567445	17777104	209659
chr1:17777104-17987772	chr1:17777104-17987772	1	17777104	17987772	210668
chr1:17987772-18196383	chr1:17987772-18196383	1	17987772	18196383	208611
chr1:18196383-18401979	chr1:18196383-18401979	1	18196383	18401979	205596
chr1:18401979-18615870	chr1:18401979-18615870	1	18401979	18615870	213891
chr1:18615870-18826589	chr1:18615870-18826589	1	18615870	18826589	210719
chr1:18826589-19038400	chr1:18826589-19038400	1	18826589	19038400	211811
chr1:19038400-19251485	chr1:19038400-19251485	1	19038400	19251485	213085
chr1:19251485-19472583	chr1:19251485-19472583	1	19251485	19472583	221098
chr1:19472583-19706853	chr1:19472583-19706853	1	19472583	19706853	234270
chr1:19706853-19930662	chr1:19706853-19930662	1	19706853	19930662	223809
chr1:19930662-20161787	chr1:19930662-20161787	1	19930662	20161787	231125
chr1:20161787-20371770	chr1:20161787-20371770	1	20161787	20371770	209983
chr1:20371770-20590678	chr1:20371770-20590678	1	20371770	20590678	218908
chr1:20590678-20821750	chr1:20590678-20821750	1	20590678	20821750	231072
chr1:20821750-21043441	chr1:20821750-21043441	1	20821750	21043441	221691
chr1:21043441-21279115	chr1:21043441-21279115	1	21043441	21279115	235674
chr1:21279115-21542297	chr1:21279115-21542297	1	21279115	21542297	263182
chr1:21542297-21761190	chr1:21542297-21761190	1	21542297	21761190	218893
chr1:21761190-22018947	chr1:21761190-22018947	1	21761190	22018947	257757
chr1:22018947-22242704	chr1:22018947-22242704	1	22018947	22242704	223757
chr1:22242704-22456764	chr1:22242704-22456764	1	22242704	22456764	214060
chr1:22456764-22664837	chr1:22456764-22664837	1	22456764	22664837	208073
chr1:22664837-22875867	chr1:22664837-22875867	1	22664837	22875867	211030
chr1:22875867-23100476	chr1:22875867-23100476	1	22875867	23100476	224609
chr1:23100476-23331671	chr1:23100476-23331671	1	23100476	23331671	231195
chr1:23331671-23563511	chr1:23331671-23563511	1	23331671	23563511	231840
chr1:23563511-24139449	chr1:23563511-24139449	1	23563511	24139449	575938
chr1:24139449-24360876	chr1:24139449-24360876	1	24139449	24360876	221427
chr1:24360876-24581408	chr1:24360876-24581408	1	24360876	24581408	220532
chr1:24581408-24823636	chr1:24581408-24823636	1	24581408	24823636	242228
chr1:24823636-25035862	chr1:24823636-25035862	1	24823636	25035862	212226
chr1:25035862-25259676	chr1:25035862-25259676	1	25035862	25259676	223814
chr1:25259676-25575144	chr1:25259676-25575144	1	25259676	25575144	315468
chr1:25575144-25795406	chr1:25575144-25795406	1	25575144	25795406	220262
chr1:25795406-26022169	chr1:25795406-26022169	1	25795406	26022169	226763
chr1:26022169-26253199	chr1:26022169-26253199	1	26022169	26253199	231030
chr1:26253199-26487988	chr1:26253199-26487988	1	26253199	26487988	234789
chr1:26487988-26734811	chr1:26487988-26734811	1	26487988	26734811	246823
chr1:26734811-26975362	chr1:26734811-26975362	1	26734811	26975362	240551
chr1:26975362-27223176	chr1:26975362-27223176	1	26975362	27223176	247814
chr1:27223176-27458708	chr1:27223176-27458708	1	27223176	27458708	235532
chr1:27458708-27685740	chr1:27458708-27685740	1	27458708	27685740	227032
chr1:27685740-27931241	chr1:27685740-27931241	1	27685740	27931241	245501
chr1:27931241-28164534	chr1:27931241-28164534	1	27931241	28164534	233293
chr1:28164534-28418192	chr1:28164534-28418192	1	28164534	28418192	253658
chr1:28418192-28679501	chr1:28418192-28679501	1	28418192	28679501	261309
chr1:28679501-28925487	chr1:28679501-28925487	1	28679501	28925487	245986
chr1:28925487-29163140	chr1:28925487-29163140	1	28925487	29163140	237653
chr1:29163140-29600315	chr1:29163140-29600315	1	29163140	29600315	437175
chr1:29600315-29813280	chr1:29600315-29813280	1	29600315	29813280	212965
chr1:29813280-30023008	chr1:29813280-30023008	1	29813280	30023008	209728
chr1:30023008-30235406	chr1:30023008-30235406	1	30023008	30235406	212398
chr1:30235406-30451610	chr1:30235406-30451610	1	30235406	30451610	216204
chr1:30451610-30676655	chr1:30451610-30676655	1	30451610	30676655	225045
chr1:30676655-30887081	chr1:30676655-30887081	1	30676655	30887081	210426
chr1:30887081-31118594	chr1:30887081-31118594	1	30887081	31118594	231513
chr1:31118594-31359043	chr1:31118594-31359043	1	31118594	31359043	240449
chr1:31359043-31595970	chr1:31359043-31595970	1	31359043	31595970	236927
chr1:31595970-31801626	chr1:31595970-31801626	1	31595970	31801626	205656
chr1:31801626-32040848	chr1:31801626-32040848	1	31801626	32040848	239222
chr1:32040848-32281742	chr1:32040848-32281742	1	32040848	32281742	240894
chr1:32281742-32526110	chr1:32281742-32526110	1	32281742	32526110	244368
chr1:32526110-32777638	chr1:32526110-32777638	1	32526110	32777638	251528
chr1:32777638-33009750	chr1:32777638-33009750	1	32777638	33009750	232112
chr1:33009750-33240353	chr1:33009750-33240353	1	33009750	33240353	230603
chr1:33240353-33455194	chr1:33240353-33455194	1	33240353	33455194	214841
chr1:33455194-33664970	chr1:33455194-33664970	1	33455194	33664970	209776
chr1:33664970-33881591	chr1:33664970-33881591	1	33664970	33881591	216621
chr1:33881591-34091717	chr1:33881591-34091717	1	33881591	34091717	210126
chr1:34091717-34310709	chr1:34091717-34310709	1	34091717	34310709	218992
chr1:34310709-34516841	chr1:34310709-34516841	1	34310709	34516841	206132
chr1:34516841-34736442	chr1:34516841-34736442	1	34516841	34736442	219601
chr1:34736442-34947162	chr1:34736442-34947162	1	34736442	34947162	210720
chr1:34947162-35200758	chr1:34947162-35200758	1	34947162	35200758	253596
chr1:35200758-35433225	chr1:35200758-35433225	1	35200758	35433225	232467
chr1:35433225-35654347	chr1:35433225-35654347	1	35433225	35654347	221122
chr1:35654347-35889544	chr1:35654347-35889544	1	35654347	35889544	235197
chr1:35889544-36117159	chr1:35889544-36117159	1	35889544	36117159	227615
chr1:36117159-36354687	chr1:36117159-36354687	1	36117159	36354687	237528
chr1:36354687-36580421	chr1:36354687-36580421	1	36354687	36580421	225734
chr1:36580421-36790608	chr1:36580421-36790608	1	36580421	36790608	210187
chr1:36790608-36995301	chr1:36790608-36995301	1	36790608	36995301	204693
chr1:36995301-37203127	chr1:36995301-37203127	1	36995301	37203127	207826
chr1:37203127-37424389	chr1:37203127-37424389	1	37203127	37424389	221262
chr1:37424389-37651091	chr1:37424389-37651091	1	37424389	37651091	226702
chr1:37651091-37873972	chr1:37651091-37873972	1	37651091	37873972	222881
chr1:37873972-38111845	chr1:37873972-38111845	1	37873972	38111845	237873
chr1:38111845-38322779	chr1:38111845-38322779	1	38111845	38322779	210934
chr1:38322779-38538570	chr1:38322779-38538570	1	38322779	38538570	215791
chr1:38538570-38753985	chr1:38538570-38753985	1	38538570	38753985	215415
chr1:38753985-38995620	chr1:38753985-38995620	1	38753985	38995620	241635
chr1:38995620-39238287	chr1:38995620-39238287	1	38995620	39238287	242667
chr1:39238287-39461330	chr1:39238287-39461330	1	39238287	39461330	223043
chr1:39461330-39702264	chr1:39461330-39702264	1	39461330	39702264	240934
chr1:39702264-39946814	chr1:39702264-39946814	1	39702264	39946814	244550
chr1:39946814-40183121	chr1:39946814-40183121	1	39946814	40183121	236307
chr1:40183121-40415842	chr1:40183121-40415842	1	40183121	40415842	232721
chr1:40415842-40651928	chr1:40415842-40651928	1	40415842	40651928	236086
chr1:40651928-40868291	chr1:40651928-40868291	1	40651928	40868291	216363
chr1:40868291-41096298	chr1:40868291-41096298	1	40868291	41096298	228007
chr1:41096298-41320987	chr1:41096298-41320987	1	41096298	41320987	224689
chr1:41320987-41525935	chr1:41320987-41525935	1	41320987	41525935	204948
chr1:41525935-41735464	chr1:41525935-41735464	1	41525935	41735464	209529
chr1:41735464-41943586	chr1:41735464-41943586	1	41735464	41943586	208122
chr1:41943586-42168808	chr1:41943586-42168808	1	41943586	42168808	225222
chr1:42168808-42390589	chr1:42168808-42390589	1	42168808	42390589	221781
chr1:42390589-42613844	chr1:42390589-42613844	1	42390589	42613844	223255
chr1:42613844-42841006	chr1:42613844-42841006	1	42613844	42841006	227162
chr1:42841006-43066488	chr1:42841006-43066488	1	42841006	43066488	225482
chr1:43066488-43300000	chr1:43066488-43300000	1	43066488	43300000	233512
chr1:43300000-43520730	chr1:43300000-43520730	1	43300000	43520730	220730
chr1:43520730-43740019	chr1:43520730-43740019	1	43520730	43740019	219289
chr1:43740019-43956420	chr1:43740019-43956420	1	43740019	43956420	216401
chr1:43956420-44177542	chr1:43956420-44177542	1	43956420	44177542	221122
chr1:44177542-44389254	chr1:44177542-44389254	1	44177542	44389254	211712
chr1:44389254-44607748	chr1:44389254-44607748	1	44389254	44607748	218494
chr1:44607748-44839537	chr1:44607748-44839537	1	44607748	44839537	231789
chr1:44839537-45078807	chr1:44839537-45078807	1	44839537	45078807	239270
chr1:45078807-45330532	chr1:45078807-45330532	1	45078807	45330532	251725
chr1:45330532-45575545	chr1:45330532-45575545	1	45330532	45575545	245013
chr1:45575545-45819446	chr1:45575545-45819446	1	45575545	45819446	243901
chr1:45819446-46046996	chr1:45819446-46046996	1	45819446	46046996	227550
chr1:46046996-46279045	chr1:46046996-46279045	1	46046996	46279045	232049
chr1:46279045-46514026	chr1:46279045-46514026	1	46279045	46514026	234981
chr1:46514026-46730051	chr1:46514026-46730051	1	46514026	46730051	216025
chr1:46730051-47027817	chr1:46730051-47027817	1	46730051	47027817	297766
chr1:47027817-47303866	chr1:47027817-47303866	1	47027817	47303866	276049
chr1:47303866-47528543	chr1:47303866-47528543	1	47303866	47528543	224677
chr1:47528543-47737794	chr1:47528543-47737794	1	47528543	47737794	209251
chr1:47737794-47940906	chr1:47737794-47940906	1	47737794	47940906	203112
chr1:47940906-48163917	chr1:47940906-48163917	1	47940906	48163917	223011
chr1:48163917-48401104	chr1:48163917-48401104	1	48163917	48401104	237187
chr1:48401104-48623398	chr1:48401104-48623398	1	48401104	48623398	222294
chr1:48623398-48828244	chr1:48623398-48828244	1	48623398	48828244	204846
chr1:48828244-49040375	chr1:48828244-49040375	1	48828244	49040375	212131
chr1:49040375-49268353	chr1:49040375-49268353	1	49040375	49268353	227978
chr1:49268353-49489357	chr1:49268353-49489357	1	49268353	49489357	221004
chr1:49489357-49725897	chr1:49489357-49725897	1	49489357	49725897	236540
chr1:49725897-49969755	chr1:49725897-49969755	1	49725897	49969755	243858
chr1:49969755-50181051	chr1:49969755-50181051	1	49969755	50181051	211296
chr1:50181051-50397325	chr1:50181051-50397325	1	50181051	50397325	216274
chr1:50397325-50612598	chr1:50397325-50612598	1	50397325	50612598	215273
chr1:50612598-50843866	chr1:50612598-50843866	1	50612598	50843866	231268
chr1:50843866-51080082	chr1:50843866-51080082	1	50843866	51080082	236216
chr1:51080082-51311650	chr1:51080082-51311650	1	51080082	51311650	231568
chr1:51311650-51541689	chr1:51311650-51541689	1	51311650	51541689	230039
chr1:51541689-51764720	chr1:51541689-51764720	1	51541689	51764720	223031
chr1:51764720-51985487	chr1:51764720-51985487	1	51764720	51985487	220767
chr1:51985487-52232407	chr1:51985487-52232407	1	51985487	52232407	246920
chr1:52232407-52462041	chr1:52232407-52462041	1	52232407	52462041	229634
chr1:52462041-52688455	chr1:52462041-52688455	1	52462041	52688455	226414
chr1:52688455-52932444	chr1:52688455-52932444	1	52688455	52932444	243989
chr1:52932444-53155506	chr1:52932444-53155506	1	52932444	53155506	223062
chr1:53155506-53368072	chr1:53155506-53368072	1	53155506	53368072	212566
chr1:53368072-53581561	chr1:53368072-53581561	1	53368072	53581561	213489
chr1:53581561-53790970	chr1:53581561-53790970	1	53581561	53790970	209409
chr1:53790970-54020097	chr1:53790970-54020097	1	53790970	54020097	229127
chr1:54020097-54240519	chr1:54020097-54240519	1	54020097	54240519	220422
chr1:54240519-54463118	chr1:54240519-54463118	1	54240519	54463118	222599
chr1:54463118-54698091	chr1:54463118-54698091	1	54463118	54698091	234973
chr1:54698091-54923212	chr1:54698091-54923212	1	54698091	54923212	225121
chr1:54923212-55142657	chr1:54923212-55142657	1	54923212	55142657	219445
chr1:55142657-55358117	chr1:55142657-55358117	1	55142657	55358117	215460
chr1:55358117-55580534	chr1:55358117-55580534	1	55358117	55580534	222417
chr1:55580534-55796192	chr1:55580534-55796192	1	55580534	55796192	215658
chr1:55796192-56004831	chr1:55796192-56004831	1	55796192	56004831	208639
chr1:56004831-56218770	chr1:56004831-56218770	1	56004831	56218770	213939
chr1:56218770-56437336	chr1:56218770-56437336	1	56218770	56437336	218566
chr1:56437336-56655780	chr1:56437336-56655780	1	56437336	56655780	218444
chr1:56655780-56866589	chr1:56655780-56866589	1	56655780	56866589	210809
chr1:56866589-57072999	chr1:56866589-57072999	1	56866589	57072999	206410
chr1:57072999-57280809	chr1:57072999-57280809	1	57072999	57280809	207810
chr1:57280809-57490206	chr1:57280809-57490206	1	57280809	57490206	209397
chr1:57490206-57709142	chr1:57490206-57709142	1	57490206	57709142	218936
chr1:57709142-57917694	chr1:57709142-57917694	1	57709142	57917694	208552
chr1:57917694-58133311	chr1:57917694-58133311	1	57917694	58133311	215617
chr1:58133311-58354593	chr1:58133311-58354593	1	58133311	58354593	221282
chr1:58354593-58574467	chr1:58354593-58574467	1	58354593	58574467	219874
chr1:58574467-58793135	chr1:58574467-58793135	1	58574467	58793135	218668
chr1:58793135-59005597	chr1:58793135-59005597	1	58793135	59005597	212462
chr1:59005597-59215264	chr1:59005597-59215264	1	59005597	59215264	209667
chr1:59215264-59435338	chr1:59215264-59435338	1	59215264	59435338	220074
chr1:59435338-59674085	chr1:59435338-59674085	1	59435338	59674085	238747
chr1:59674085-59885673	chr1:59674085-59885673	1	59674085	59885673	211588
chr1:59885673-60095453	chr1:59885673-60095453	1	59885673	60095453	209780
chr1:60095453-60311261	chr1:60095453-60311261	1	60095453	60311261	215808
chr1:60311261-60538303	chr1:60311261-60538303	1	60311261	60538303	227042
chr1:60538303-60756451	chr1:60538303-60756451	1	60538303	60756451	218148
chr1:60756451-60974834	chr1:60756451-60974834	1	60756451	60974834	218383
chr1:60974834-61186752	chr1:60974834-61186752	1	60974834	61186752	211918
chr1:61186752-61396331	chr1:61186752-61396331	1	61186752	61396331	209579
chr1:61396331-61611136	chr1:61396331-61611136	1	61396331	61611136	214805
chr1:61611136-61841171	chr1:61611136-61841171	1	61611136	61841171	230035
chr1:61841171-62070508	chr1:61841171-62070508	1	61841171	62070508	229337
chr1:62070508-62307099	chr1:62070508-62307099	1	62070508	62307099	236591
chr1:62307099-62530811	chr1:62307099-62530811	1	62307099	62530811	223712
chr1:62530811-62766850	chr1:62530811-62766850	1	62530811	62766850	236039
chr1:62766850-62981638	chr1:62766850-62981638	1	62766850	62981638	214788
chr1:62981638-63191464	chr1:62981638-63191464	1	62981638	63191464	209826
chr1:63191464-63419702	chr1:63191464-63419702	1	63191464	63419702	228238
chr1:63419702-63642491	chr1:63419702-63642491	1	63419702	63642491	222789
chr1:63642491-63854704	chr1:63642491-63854704	1	63642491	63854704	212213
chr1:63854704-64061613	chr1:63854704-64061613	1	63854704	64061613	206909
chr1:64061613-64284698	chr1:64061613-64284698	1	64061613	64284698	223085
chr1:64284698-64506779	chr1:64284698-64506779	1	64284698	64506779	222081
chr1:64506779-64717115	chr1:64506779-64717115	1	64506779	64717115	210336
chr1:64717115-64931806	chr1:64717115-64931806	1	64717115	64931806	214691
chr1:64931806-65160400	chr1:64931806-65160400	1	64931806	65160400	228594
chr1:65160400-65377507	chr1:65160400-65377507	1	65160400	65377507	217107
chr1:65377507-65609504	chr1:65377507-65609504	1	65377507	65609504	231997
chr1:65609504-65834471	chr1:65609504-65834471	1	65609504	65834471	224967
chr1:65834471-66055681	chr1:65834471-66055681	1	65834471	66055681	221210
chr1:66055681-66279180	chr1:66055681-66279180	1	66055681	66279180	223499
chr1:66279180-66498175	chr1:66279180-66498175	1	66279180	66498175	218995
chr1:66498175-66707630	chr1:66498175-66707630	1	66498175	66707630	209455
chr1:66707630-66929181	chr1:66707630-66929181	1	66707630	66929181	221551
chr1:66929181-67147896	chr1:66929181-67147896	1	66929181	67147896	218715
chr1:67147896-67382537	chr1:67147896-67382537	1	67147896	67382537	234641
chr1:67382537-67610312	chr1:67382537-67610312	1	67382537	67610312	227775
chr1:67610312-67820292	chr1:67610312-67820292	1	67610312	67820292	209980
chr1:67820292-68036238	chr1:67820292-68036238	1	67820292	68036238	215946
chr1:68036238-68251073	chr1:68036238-68251073	1	68036238	68251073	214835
chr1:68251073-68472249	chr1:68251073-68472249	1	68251073	68472249	221176
chr1:68472249-68690571	chr1:68472249-68690571	1	68472249	68690571	218322
chr1:68690571-68918068	chr1:68690571-68918068	1	68690571	68918068	227497
chr1:68918068-69151238	chr1:68918068-69151238	1	68918068	69151238	233170
chr1:69151238-69362763	chr1:69151238-69362763	1	69151238	69362763	211525
chr1:69362763-69583523	chr1:69362763-69583523	1	69362763	69583523	220760
chr1:69583523-69789698	chr1:69583523-69789698	1	69583523	69789698	206175
chr1:69789698-70023608	chr1:69789698-70023608	1	69789698	70023608	233910
chr1:70023608-70234175	chr1:70023608-70234175	1	70023608	70234175	210567
chr1:70234175-70462518	chr1:70234175-70462518	1	70234175	70462518	228343
chr1:70462518-70688373	chr1:70462518-70688373	1	70462518	70688373	225855
chr1:70688373-70908277	chr1:70688373-70908277	1	70688373	70908277	219904
chr1:70908277-71122334	chr1:70908277-71122334	1	70908277	71122334	214057
chr1:71122334-71343476	chr1:71122334-71343476	1	71122334	71343476	221142
chr1:71343476-71557048	chr1:71343476-71557048	1	71343476	71557048	213572
chr1:71557048-71764822	chr1:71557048-71764822	1	71557048	71764822	207774
chr1:71764822-71980283	chr1:71764822-71980283	1	71764822	71980283	215461
chr1:71980283-72186128	chr1:71980283-72186128	1	71980283	72186128	205845
chr1:72186128-72400637	chr1:72186128-72400637	1	72186128	72400637	214509
chr1:72400637-72611276	chr1:72400637-72611276	1	72400637	72611276	210639
chr1:72611276-72820388	chr1:72611276-72820388	1	72611276	72820388	209112
chr1:72820388-73045332	chr1:72820388-73045332	1	72820388	73045332	224944
chr1:73045332-73261354	chr1:73045332-73261354	1	73045332	73261354	216022
chr1:73261354-73475764	chr1:73261354-73475764	1	73261354	73475764	214410
chr1:73475764-73688879	chr1:73475764-73688879	1	73475764	73688879	213115
chr1:73688879-73896442	chr1:73688879-73896442	1	73688879	73896442	207563
chr1:73896442-74113116	chr1:73896442-74113116	1	73896442	74113116	216674
chr1:74113116-74326852	chr1:74113116-74326852	1	74113116	74326852	213736
chr1:74326852-74545358	chr1:74326852-74545358	1	74326852	74545358	218506
chr1:74545358-74755814	chr1:74545358-74755814	1	74545358	74755814	210456
chr1:74755814-74982179	chr1:74755814-74982179	1	74755814	74982179	226365
chr1:74982179-75207662	chr1:74982179-75207662	1	74982179	75207662	225483
chr1:75207662-75434142	chr1:75207662-75434142	1	75207662	75434142	226480
chr1:75434142-75655103	chr1:75434142-75655103	1	75434142	75655103	220961
chr1:75655103-75902873	chr1:75655103-75902873	1	75655103	75902873	247770
chr1:75902873-76117451	chr1:75902873-76117451	1	75902873	76117451	214578
chr1:76117451-76329148	chr1:76117451-76329148	1	76117451	76329148	211697
chr1:76329148-76545258	chr1:76329148-76545258	1	76329148	76545258	216110
chr1:76545258-76755553	chr1:76545258-76755553	1	76545258	76755553	210295
chr1:76755553-76976166	chr1:76755553-76976166	1	76755553	76976166	220613
chr1:76976166-77200329	chr1:76976166-77200329	1	76976166	77200329	224163
chr1:77200329-77412631	chr1:77200329-77412631	1	77200329	77412631	212302
chr1:77412631-77627527	chr1:77412631-77627527	1	77412631	77627527	214896
chr1:77627527-77857880	chr1:77627527-77857880	1	77627527	77857880	230353
chr1:77857880-78085607	chr1:77857880-78085607	1	77857880	78085607	227727
chr1:78085607-78324280	chr1:78085607-78324280	1	78085607	78324280	238673
chr1:78324280-78539295	chr1:78324280-78539295	1	78324280	78539295	215015
chr1:78539295-78753021	chr1:78539295-78753021	1	78539295	78753021	213726
chr1:78753021-78972719	chr1:78753021-78972719	1	78753021	78972719	219698
chr1:78972719-79185514	chr1:78972719-79185514	1	78972719	79185514	212795
chr1:79185514-79396068	chr1:79185514-79396068	1	79185514	79396068	210554
chr1:79396068-79618444	chr1:79396068-79618444	1	79396068	79618444	222376
chr1:79618444-79835041	chr1:79618444-79835041	1	79618444	79835041	216597
chr1:79835041-80060761	chr1:79835041-80060761	1	79835041	80060761	225720
chr1:80060761-80276299	chr1:80060761-80276299	1	80060761	80276299	215538
chr1:80276299-80496602	chr1:80276299-80496602	1	80276299	80496602	220303
chr1:80496602-80710944	chr1:80496602-80710944	1	80496602	80710944	214342
chr1:80710944-80922134	chr1:80710944-80922134	1	80710944	80922134	211190
chr1:80922134-81140456	chr1:80922134-81140456	1	80922134	81140456	218322
chr1:81140456-81352426	chr1:81140456-81352426	1	81140456	81352426	211970
chr1:81352426-81563831	chr1:81352426-81563831	1	81352426	81563831	211405
chr1:81563831-81782033	chr1:81563831-81782033	1	81563831	81782033	218202
chr1:81782033-81989256	chr1:81782033-81989256	1	81782033	81989256	207223
chr1:81989256-82207676	chr1:81989256-82207676	1	81989256	82207676	218420
chr1:82207676-82424272	chr1:82207676-82424272	1	82207676	82424272	216596
chr1:82424272-82633965	chr1:82424272-82633965	1	82424272	82633965	209693
chr1:82633965-82840724	chr1:82633965-82840724	1	82633965	82840724	206759
chr1:82840724-83497455	chr1:82840724-83497455	1	82840724	83497455	656731
chr1:83497455-83709641	chr1:83497455-83709641	1	83497455	83709641	212186
chr1:83709641-83918435	chr1:83709641-83918435	1	83709641	83918435	208794
chr1:83918435-84133979	chr1:83918435-84133979	1	83918435	84133979	215544
chr1:84133979-84347979	chr1:84133979-84347979	1	84133979	84347979	214000
chr1:84347979-84564540	chr1:84347979-84564540	1	84347979	84564540	216561
chr1:84564540-84776670	chr1:84564540-84776670	1	84564540	84776670	212130
chr1:84776670-84990785	chr1:84776670-84990785	1	84776670	84990785	214115
chr1:84990785-85209426	chr1:84990785-85209426	1	84990785	85209426	218641
chr1:85209426-85423257	chr1:85209426-85423257	1	85209426	85423257	213831
chr1:85423257-85640098	chr1:85423257-85640098	1	85423257	85640098	216841
chr1:85640098-85881026	chr1:85640098-85881026	1	85640098	85881026	240928
chr1:85881026-86105707	chr1:85881026-86105707	1	85881026	86105707	224681
chr1:86105707-86330996	chr1:86105707-86330996	1	86105707	86330996	225289
chr1:86330996-86549916	chr1:86330996-86549916	1	86330996	86549916	218920
chr1:86549916-86785880	chr1:86549916-86785880	1	86549916	86785880	235964
chr1:86785880-87020136	chr1:86785880-87020136	1	86785880	87020136	234256
chr1:87020136-87227189	chr1:87020136-87227189	1	87020136	87227189	207053
chr1:87227189-87442092	chr1:87227189-87442092	1	87227189	87442092	214903
chr1:87442092-87662189	chr1:87442092-87662189	1	87442092	87662189	220097
chr1:87662189-87870078	chr1:87662189-87870078	1	87662189	87870078	207889
chr1:87870078-88075229	chr1:87870078-88075229	1	87870078	88075229	205151
