gene	CHROM	gene_start	gene_end	gene_length	gene_ensembl
PRKCZ-AS1	1	2181793	2184389	2596	ENSG00000182873
FAAP20	1	2184460	2212720	28260	ENSG00000162585
ENSG00000234396	1	2212522	2220738	8216	ENSG00000234396
SKI	1	2227387	2310213	82826	ENSG00000157933
ENSG00000287356	1	2315039	2323085	8046	ENSG00000287356
MORN1	1	2321252	2391707	70455	ENSG00000116151
ENSG00000272161	1	2326200	2326693	493	ENSG00000272161
ENSG00000272420	1	2363060	2363628	568	ENSG00000272420
RER1	1	2391774	2405442	13668	ENSG00000157916
PEX10	1	2403963	2413797	9834	ENSG00000157911
PLCH2	1	2425979	2505532	79553	ENSG00000149527
ENSG00000224387	1	2492299	2493258	959	ENSG00000224387
ENSG00000229393	1	2493436	2494479	1043	ENSG00000229393
PANK4	1	2508536	2526597	18061	ENSG00000157881
HES5	1	2528744	2530263	1519	ENSG00000197921
ENSG00000272449	1	2530063	2547471	17408	ENSG00000272449
TNFRSF14-AS1	1	2549919	2557031	7112	ENSG00000238164
TNFRSF14	1	2555638	2565382	9744	ENSG00000157873
ENSG00000228037	1	2581559	2584533	2974	ENSG00000228037
ENSG00000289610	1	2585609	2586060	451	ENSG00000289610
PRXL2B	1	2586490	2591469	4979	ENSG00000157870
MMEL1	1	2590638	2633016	42378	ENSG00000142606
MMEL1-AS1	1	2632567	2636620	4053	ENSG00000237058
TTC34	1	2636985	2801693	164708	ENSG00000215912
ENSG00000285945	1	2768090	2784733	16643	ENSG00000285945
ENSG00000283259	1	2773602	2776473	2871	ENSG00000283259
ENSG00000233234	1	2811849	2812692	843	ENSG00000233234
ENSG00000287396	1	2814055	2817767	3712	ENSG00000287396
ENSG00000231630	1	2814431	2814998	567	ENSG00000231630
ENSG00000284745	1	2960657	2968707	8050	ENSG00000284745
ACTRT2	1	3021466	3022903	1437	ENSG00000169717
PRDM16-DT	1	3059610	3069091	9481	ENSG00000177133
PRDM16	1	3069167	3438621	369454	ENSG00000142611
ENSG00000226286	1	3132926	3133709	783	ENSG00000226286
ENSG00000272235	1	3306635	3310096	3461	ENSG00000272235
ENSG00000287828	1	3313051	3323149	10098	ENSG00000287828
ENSG00000286518	1	3367814	3373928	6114	ENSG00000286518
ARHGEF16	1	3454664	3481113	26449	ENSG00000130762
ENSG00000272088	1	3487245	3487627	382	ENSG00000272088
MEGF6	1	3487950	3611508	123558	ENSG00000162591
ENSG00000238260	1	3622856	3624786	1930	ENSG00000238260
TPRG1L	1	3625014	3630127	5113	ENSG00000158109
WRAP73	1	3630766	3652761	21995	ENSG00000116213
TP73	1	3652515	3736201	83686	ENSG00000078900
TP73-AS3	1	3658937	3668772	9835	ENSG00000227589
TP73-AS2	1	3712199	3714298	2099	ENSG00000235131
CCDC27	1	3746459	3771645	25186	ENSG00000162592
SMIM1	1	3772748	3775982	3234	ENSG00000235169
LRRC47	1	3778558	3796498	17940	ENSG00000130764
ENSG00000272153	1	3785007	3785538	531	ENSG00000272153
CEP104	1	3812085	3857396	45311	ENSG00000116198
DFFB	1	3857266	3885429	28163	ENSG00000169598
C1orf174	1	3889124	3900293	11169	ENSG00000198912
LINC01134	1	3900346	3917225	16879	ENSG00000236423
LINC01346	1	3940485	3955262	14777	ENSG00000233304
LINC01345	1	3944546	3949024	4478	ENSG00000226374
LINC02780	1	3976132	4012704	36572	ENSG00000284668
ENSG00000284703	1	4012920	4019508	6588	ENSG00000284703
LINC01777	1	4412026	4424689	12663	ENSG00000235054
ENSG00000284694	1	4479130	4484375	5245	ENSG00000284694
ENSG00000227169	1	4551734	4552145	411	ENSG00000227169
LINC01646	1	4571480	4594016	22536	ENSG00000232596
AJAP1	1	4654608	4792534	137926	ENSG00000196581
ENSG00000287586	1	4730210	4734992	4782	ENSG00000287586
ENSG00000284739	1	4963953	4973298	9345	ENSG00000284739
LINC02781	1	4973380	4981568	8188	ENSG00000284674
LINC02782	1	5086458	5090899	4441	ENSG00000231510
ENSG00000284616	1	5301927	5307394	5467	ENSG00000284616
ENSG00000284692	1	5478735	5493057	14322	ENSG00000284692
ENSG00000284666	1	5480786	5482028	1242	ENSG00000284666
ENSG00000260972	1	5492977	5494674	1697	ENSG00000260972
ENSG00000236948	1	5561708	5668295	106587	ENSG00000236948
ENSG00000289893	1	5733357	5771453	38096	ENSG00000289893
NPHP4	1	5862810	5992473	129663	ENSG00000131697
KCNAB2	1	5990926	6101193	110267	ENSG00000069424
CHD5	1	6101786	6180321	78535	ENSG00000116254
RPL22	1	6185019	6209389	24370	ENSG00000116251
RNF207-AS1	1	6204839	6205780	941	ENSG00000226944
RNF207	1	6205474	6221299	15825	ENSG00000158286
ICMT	1	6221192	6235972	14780	ENSG00000116237
ICMT-DT	1	6234691	6239444	4753	ENSG00000225077
HES3	1	6244178	6245578	1400	ENSG00000173673
GPR153	1	6247352	6261098	13746	ENSG00000158292
ACOT7	1	6264268	6393767	129499	ENSG00000097021
ENSG00000271746	1	6393554	6394391	837	ENSG00000271746
HES2	1	6412417	6424670	12253	ENSG00000069812
ESPN	1	6424775	6461367	36592	ENSG00000187017
ENSG00000231868	1	6443033	6447006	3973	ENSG00000231868
TNFRSF25	1	6460785	6466175	5390	ENSG00000215788
PLEKHG5	1	6467121	6520074	52953	ENSG00000171680
NOL9	1	6521346	6554513	33167	ENSG00000162408
TAS1R1	1	6555306	6579755	24449	ENSG00000173662
ZBTB48	1	6579993	6589280	9287	ENSG00000204859
KLHL21	1	6590723	6614607	23884	ENSG00000162413
PHF13	1	6613730	6624030	10300	ENSG00000116273
THAP3	1	6624867	6635586	10719	ENSG00000041988
DNAJC11	1	6634167	6701924	67757	ENSG00000007923
LINC01672	1	6724636	6730012	5376	ENSG00000228750
ENSG00000284744	1	6767953	6770038	2085	ENSG00000284744
CAMTA1-DT	1	6783891	6784843	952	ENSG00000237436
CAMTA1	1	6785453	7769706	984253	ENSG00000171735
CAMTA1-AS3	1	7008375	7014279	5904	ENSG00000237365
CAMTA1-IT1	1	7368941	7370270	1329	ENSG00000237402
CAMTA1-AS2	1	7382486	7389754	7268	ENSG00000237728
CAMTA1-AS1	1	7441095	7441554	459	ENSG00000225126
ENSG00000270171	1	7693123	7694844	1721	ENSG00000270171
ENSG00000270035	1	7698302	7698872	570	ENSG00000270035
ENSG00000269978	1	7700703	7700970	267	ENSG00000269978
VAMP3	1	7771295	7781432	10137	ENSG00000049245
ENSG00000269925	1	7776382	7776775	393	ENSG00000269925
PER3	1	7784290	7845177	60887	ENSG00000049246
ENSG00000236266	1	7810241	7827342	17101	ENSG00000236266
UTS2	1	7843082	7853512	10430	ENSG00000049247
TNFRSF9	1	7915870	7943165	27295	ENSG00000049249
PARK7	1	7954290	7985505	31215	ENSG00000116288
ENSG00000284747	1	7991133	8005312	14179	ENSG00000284747
ENSG00000284716	1	7998186	7999934	1748	ENSG00000284716
ERRFI1	1	8004403	8026309	21906	ENSG00000116285
ERRFI1-DT	1	8026737	8122702	95965	ENSG00000238290
ENSG00000288816	1	8191691	8194926	3235	ENSG00000288816
LINC01714	1	8201517	8215210	13693	ENSG00000227634
ENSG00000233645	1	8218189	8220529	2340	ENSG00000233645
SLC45A1	1	8318113	8344167	26054	ENSG00000162426
RERE	1	8352396	8848921	496525	ENSG00000142599
RERE-AS1	1	8424644	8435013	10369	ENSG00000232912
ENSG00000228423	1	8805859	8807051	1192	ENSG00000228423
ENO1	1	8860999	8879190	18191	ENSG00000074800
ENO1-AS1	1	8878834	8879894	1060	ENSG00000230679
CA6	1	8945866	8975092	29226	ENSG00000131686
ENSG00000290109	1	8970489	8971244	755	ENSG00000290109
SLC2A7	1	9002972	9026423	23451	ENSG00000197241
SLC2A5	1	9035105	9088478	53373	ENSG00000142583
GPR157	1	9100304	9129102	28798	ENSG00000180758
MIR34AHG	1	9148010	9198906	50896	ENSG00000228526
ENSG00000289914	1	9162321	9162945	624	ENSG00000289914
LNCTAM34A	1	9182003	9196284	14281	ENSG00000234546
H6PD	1	9234773	9271337	36564	ENSG00000049239
SPSB1	1	9292893	9369532	76639	ENSG00000171621
ENSG00000284652	1	9421097	9422862	1765	ENSG00000284652
LINC02606	1	9425093	9440564	15471	ENSG00000284693
ENSG00000235263	1	9501091	9503471	2380	ENSG00000235263
SLC25A33	1	9539464	9585173	45709	ENSG00000171612
TMEM201	1	9588910	9614877	25967	ENSG00000188807
PIK3CD	1	9629888	9729114	99226	ENSG00000171608
PIK3CD-AS1	1	9652609	9654586	1977	ENSG00000179840
PIK3CD-AS2	1	9672404	9687583	15179	ENSG00000231789
CLSTN1	1	9728925	9823984	95059	ENSG00000171603
CTNNBIP1	1	9848275	9910336	62061	ENSG00000178585
ENSG00000223989	1	9848317	9850154	1837	ENSG00000223989
ENSG00000285701	1	9900613	9908034	7421	ENSG00000285701
LZIC	1	9922112	9943407	21295	ENSG00000162441
ENSG00000228150	1	9942922	9949974	7052	ENSG00000228150
NMNAT1	1	9943427	9985501	42074	ENSG00000173614
ENSG00000241326	1	9983140	9984568	1428	ENSG00000241326
RBP7	1	9997205	10016021	18816	ENSG00000162444
UBE4B	1	10032831	10181239	148408	ENSG00000130939
KIF1B	1	10210569	10381603	171034	ENSG00000054523
ENSG00000284735	1	10381905	10387150	5245	ENSG00000284735
ENSG00000284642	1	10395415	10397432	2017	ENSG00000284642
PGD	1	10398591	10420511	21920	ENSG00000142657
ENSG00000271989	1	10429880	10430677	797	ENSG00000271989
CENPS	1	10430432	10442808	12376	ENSG00000175279
CORT	1	10450030	10451998	1968	ENSG00000241563
DFFA	1	10456521	10472529	16008	ENSG00000160049
ENSG00000203469	1	10458554	10459338	784	ENSG00000203469
PEX14	1	10472287	10630758	158471	ENSG00000142655
ENSG00000287727	1	10612221	10616452	4231	ENSG00000287727
CASZ1	1	10636603	10796650	160047	ENSG00000130940
ENSG00000272078	1	10639240	10654333	15093	ENSG00000272078
C1orf127	1	10946470	10982076	35606	ENSG00000175262
TARDBP	1	11012343	11030528	18185	ENSG00000120948
MASP2	1	11022008	11047239	25231	ENSG00000009724
SRM	1	11054583	11060020	5437	ENSG00000116649
EXOSC10	1	11066617	11099869	33252	ENSG00000171824
ENSG00000226849	1	11068470	11073097	4627	ENSG00000226849
EXOSC10-AS1	1	11099429	11102105	2676	ENSG00000230337
MTOR	1	11106534	11262556	156022	ENSG00000198793
MTOR-AS1	1	11143897	11149537	5640	ENSG00000225602
ANGPTL7	1	11189354	11195981	6627	ENSG00000171819
UBIAD1	1	11273197	11296049	22852	ENSG00000120942
ENSG00000284646	1	11311733	11319093	7360	ENSG00000284646
DISP3	1	11479154	11537551	58397	ENSG00000204624
ENSG00000285833	1	11500802	11502016	1214	ENSG00000285833
LINC01647	1	11609467	11613358	3891	ENSG00000235643
ENSG00000284708	1	11623557	11643416	19859	ENSG00000284708
FBXO2	1	11637017	11655785	18768	ENSG00000116661
FBXO44	1	11654374	11663327	8953	ENSG00000132879
MAD2L2	1	11658917	11691811	32894	ENSG00000116670
FBXO6	1	11664199	11674354	10155	ENSG00000116663
DRAXIN	1	11691709	11725857	34148	ENSG00000162490
AGTRAP	1	11736083	11754802	18719	ENSG00000177674
C1orf167	1	11761786	11789585	27799	ENSG00000215910
C1orf167-AS1	1	11777076	11779619	2543	ENSG00000177553
MTHFR	1	11785722	11806455	20733	ENSG00000177000
CLCN6	1	11806095	11848079	41984	ENSG00000011021
NPPA	1	11845708	11848345	2637	ENSG00000175206
NPPB	1	11857463	11858945	1482	ENSG00000120937
ENSG00000285646	1	11907939	11914298	6359	ENSG00000285646
KIAA2013	1	11919590	11926428	6838	ENSG00000116685
PLOD1	1	11934204	11975538	41334	ENSG00000083444
ENSG00000287384	1	11979532	11980127	595	ENSG00000287384
MFN2	1	11980180	12015211	35031	ENSG00000116688
MIIP	1	12019465	12032045	12580	ENSG00000116691
TNFRSF8	1	12063302	12144207	80905	ENSG00000120949
ENSG00000285604	1	12088440	12092264	3824	ENSG00000285604
TNFRSF1B	1	12166990	12209228	42238	ENSG00000028137
VPS13D	1	12230029	12512047	282018	ENSG00000048707
LINC02766	1	12525715	12530691	4976	ENSG00000229484
DHRS3	1	12567909	12618210	50301	ENSG00000162496
ENSG00000288927	1	12618388	12618987	599	ENSG00000288927
ENSG00000272482	1	12618899	12619980	1081	ENSG00000272482
AADACL4	1	12644084	12667076	22992	ENSG00000204518
AADACL3	1	12716109	12728760	12651	ENSG00000188984
CFAP107	1	12746199	12763699	17500	ENSG00000157330
PRAMEF12	1	12773737	12777906	4169	ENSG00000116726
PRAMEF1	1	12791396	12796628	5232	ENSG00000116721
LINC01784	1	12822685	12823159	474	ENSG00000228338
PRAMEF11	1	12824604	12831410	6806	ENSG00000239810
HNRNPCL1	1	12847376	12848720	1344	ENSG00000179172
PRAMEF2	1	12857085	12861909	4824	ENSG00000120952
PRAMEF4	1	12879211	12886201	6990	ENSG00000243073
PRAMEF10	1	12892895	12898270	5375	ENSG00000187545
PRAMEF7	1	12916609	12920751	4142	ENSG00000204510
PRAMEF6	1	12938471	12947580	9109	ENSG00000232423
PRAMEF27	1	13049475	13056575	7100	ENSG00000274764
HNRNPCL3	1	13060768	13062878	2110	ENSG00000277058
PRAMEF25	1	13068676	13077884	9208	ENSG00000229571
HNRNPCL2	1	13115487	13116854	1367	ENSG00000275774
ENSG00000290772	1	13129792	13131409	1617	ENSG00000290772
ENSG00000233336	1	13146980	13147460	480	ENSG00000233336
PRAMEF26	1	13148904	13158116	9212	ENSG00000280267
HNRNPCL4	1	13163913	13165631	1718	ENSG00000179412
PRAMEF9	1	13171847	13179459	7612	ENSG00000204505
PRAMEF13	1	13196187	13201409	5222	ENSG00000279169
PRAMEF18	1	13222694	13226154	3460	ENSG00000279804
PRAMEF5	1	13254197	13263435	9238	ENSG00000270601
PRAMEF8	1	13281303	13285137	3834	ENSG00000182330
PRAMEF33	1	13303538	13308907	5369	ENSG00000237700
PRAMEF15	1	13315580	13322598	7018	ENSG00000204501
ENSG00000228229	1	13324038	13324518	480	ENSG00000228229
PRAMEF14	1	13341891	13347134	5243	ENSG00000204481
PRAMEF19	1	13368430	13371947	3517	ENSG00000204480
PRAMEF17	1	13389631	13392629	2998	ENSG00000204479
PRAMEF20	1	13410449	13421328	10879	ENSG00000204478
LRRC38	1	13474972	13514003	39031	ENSG00000162494
ENSG00000259961	1	13513219	13516270	3051	ENSG00000259961
PDPN	1	13583464	13617957	34493	ENSG00000162493
ENSG00000237445	1	13657310	13659910	2600	ENSG00000237445
PRDM2	1	13700187	13825079	124892	ENSG00000116731
ENSG00000289380	1	13757777	13758465	688	ENSG00000289380
KAZN	1	13892791	15118043	1225252	ENSG00000189337
ENSG00000231606	1	14221886	14304445	82559	ENSG00000231606
KAZN-AS1	1	14338824	14419973	81149	ENSG00000234593
ENSG00000287756	1	14774468	14777727	3259	ENSG00000287756
TMEM51-AS1	1	15111814	15153618	41804	ENSG00000175147
TMEM51	1	15152531	15220478	67947	ENSG00000171729
TMEM51-AS2	1	15164343	15171317	6974	ENSG00000204464
FHAD1	1	15236520	15400283	163763	ENSG00000142621
FHAD1-AS1	1	15326679	15343876	17197	ENSG00000233485
ENSG00000236045	1	15334165	15335464	1299	ENSG00000236045
EFHD2-AS1	1	15402978	15409433	6455	ENSG00000228140
EFHD2	1	15409887	15430339	20452	ENSG00000142634
CTRC	1	15438441	15449242	10801	ENSG00000162438
CELA2A	1	15456727	15472091	15364	ENSG00000142615
CELA2B	1	15465908	15491395	25487	ENSG00000215704
CASP9	1	15490831	15526534	35703	ENSG00000132906
DNAJC16	1	15526812	15592379	65567	ENSG00000116138
ENSG00000272510	1	15565610	15565956	346	ENSG00000272510
AGMAT	1	15571698	15585051	13353	ENSG00000116771
ENSG00000237301	1	15586135	15603626	17491	ENSG00000237301
DDI2	1	15617457	15669044	51587	ENSG00000197312
RSC1A1	1	15659712	15662033	2321	ENSG00000215695
ENSG00000271742	1	15682872	15683128	256	ENSG00000271742
PLEKHM2	1	15684319	15734769	50450	ENSG00000116786
ENSG00000237938	1	15720311	15736896	16585	ENSG00000237938
SLC25A34	1	15736257	15741392	5135	ENSG00000162461
SLC25A34-AS1	1	15740047	15749896	9849	ENSG00000224459
TMEM82	1	15742498	15747982	5484	ENSG00000162460
FBLIM1	1	15756606	15786594	29988	ENSG00000162458
UQCRHL	1	15807168	15809348	2180	ENSG00000233954
SPEN-AS1	1	15834473	15848147	13674	ENSG00000179743
SPEN	1	15836094	15940456	104362	ENSG00000065526
ZBTB17	1	15941868	15976132	34264	ENSG00000116809
SRARP	1	16004235	16008807	4572	ENSG00000183888
ENSG00000233078	1	16006159	16006671	512	ENSG00000233078
HSPB7	1	16014027	16019594	5567	ENSG00000173641
CLCNKA	1	16018874	16034050	15176	ENSG00000186510
CLCNKB	1	16040251	16057311	17060	ENSG00000184908
FAM131C	1	16057768	16073651	15883	ENSG00000185519
EPHA2	1	16124336	16156069	31733	ENSG00000142627
EPHA2-AS1	1	16155175	16158148	2973	ENSG00000227959
ENSG00000224621	1	16159265	16161883	2618	ENSG00000224621
ARHGEF19-AS1	1	16197853	16198357	504	ENSG00000234166
ARHGEF19	1	16197853	16212652	14799	ENSG00000142632
ENSG00000291077	1	16215906	16217425	1519	ENSG00000291077
ENSG00000288398	1	16228673	16231335	2662	ENSG00000288398
CPLANE2	1	16231691	16237183	5492	ENSG00000132881
FBXO42	1	16246839	16352480	105641	ENSG00000037637
SZRD1	1	16352574	16398145	45571	ENSG00000055070
SPATA21	1	16387116	16437424	50308	ENSG00000187144
NECAP2	1	16440720	16460078	19358	ENSG00000157191
LINC01772	1	16460947	16468481	7534	ENSG00000226029
CROCCP3	1	16467435	16499257	31822	ENSG00000290842
ENSG00000261135	1	16514644	16515754	1110	ENSG00000261135
ENSG00000224174	1	16520693	16521796	1103	ENSG00000224174
LINC01783	1	16533885	16535649	1764	ENSG00000233421
NBPF1	1	16562318	16613562	51244	ENSG00000219481
ENSG00000271732	1	16617390	16617729	339	ENSG00000271732
CROCCP2	1	16618252	16644686	26434	ENSG00000291072
ENSG00000282143	1	16656878	16667524	10646	ENSG00000282143
ENSG00000290849	1	16687338	16692309	4971	ENSG00000290849
ENSG00000279151	1	16701545	16705594	4049	ENSG00000279151
ENSG00000282740	1	16739937	16750589	10652	ENSG00000282740
CROCC	1	16740272	16972964	232692	ENSG00000058453
ENSG00000290850	1	16740279	16750968	10689	ENSG00000290850
ENSG00000290851	1	16754909	16770237	15328	ENSG00000290851
ENSG00000223643	1	16851256	16853129	1873	ENSG00000223643
ENSG00000228549	1	16870944	16883659	12715	ENSG00000228549
ENSG00000238142	1	16887576	16889725	2149	ENSG00000238142
ENSG00000272426	1	16904338	16904776	438	ENSG00000272426
ENSG00000290122	1	16905198	16905396	198	ENSG00000290122
MFAP2	1	16974501	16980632	6131	ENSG00000117122
ENSG00000286898	1	16976301	16977792	1491	ENSG00000286898
ENSG00000226526	1	16978925	17005091	26166	ENSG00000226526
ATP13A2	1	16985957	17011928	25971	ENSG00000159363
ENSG00000288636	1	17005067	17011757	6690	ENSG00000288636
SDHB	1	17018663	17054032	35369	ENSG00000117118
PADI2	1	17066760	17119451	52691	ENSG00000117115
LINC02783	1	17189782	17197617	7835	ENSG00000204362
ENSG00000282843	1	17193231	17201733	8502	ENSG00000282843
PADI1	1	17205127	17246007	40880	ENSG00000142623
PADI3	1	17249097	17284233	35136	ENSG00000142619
PADI4	1	17308194	17364004	55810	ENSG00000159339
PADI6	1	17372195	17401699	29504	ENSG00000276747
RCC2-AS1	1	17406759	17407382	623	ENSG00000227751
RCC2	1	17406759	17439677	32918	ENSG00000179051
ENSG00000290096	1	17439185	17439328	143	ENSG00000290096
ARHGEF10L	1	17539697	17697874	158177	ENSG00000074964
LINC02810	1	17717624	17749978	32354	ENSG00000236648
ACTL8	1	17755332	17827063	71731	ENSG00000117148
ENSG00000284653	1	18015711	18045612	29901	ENSG00000284653
LINC01654	1	18065656	18074412	8756	ENSG00000261781
IGSF21	1	18107797	18378483	270686	ENSG00000117154
IGSF21-AS1	1	18166928	18179346	12418	ENSG00000230035
ENSG00000225387	1	18385828	18388514	2686	ENSG00000225387
KLHDC7A	1	18480929	18485974	5045	ENSG00000179023
PAX7	1	18630845	18748866	118021	ENSG00000009709
TAS1R2	1	18839598	18859660	20062	ENSG00000179002
ALDH4A1	1	18871429	18902724	31295	ENSG00000159423
IFFO2	1	18904279	18956676	52397	ENSG00000169991
ENSG00000272084	1	19072109	19075511	3402	ENSG00000272084
UBR4	1	19074509	19210266	135757	ENSG00000127481
EMC1-AS1	1	19210347	19240709	30362	ENSG00000230424
EMC1	1	19215659	19251552	35893	ENSG00000127463
MRTO4	1	19251804	19260128	8324	ENSG00000053372
AKR7L	1	19265981	19274194	8213	ENSG00000211454
AKR7A3	1	19282572	19288770	6198	ENSG00000162482
AKR7A2	1	19303964	19312144	8180	ENSG00000053371
SLC66A1	1	19312325	19329300	16975	ENSG00000040487
CAPZB	1	19338774	19485539	146765	ENSG00000077549
MICOS10	1	19484402	19629821	145419	ENSG00000173436
MICOS10-DT	1	19591801	19596832	5031	ENSG00000235185
NBL1	1	19596978	19658456	61478	ENSG00000158747
HTR6	1	19664874	19680966	16092	ENSG00000158748
TMCO4	1	19682239	19799945	117706	ENSG00000162542
RNF186	1	19814028	19815283	1255	ENSG00000178828
RNF186-AS1	1	19814366	19819502	5136	ENSG00000235434
OTUD3	1	19882394	19912945	30551	ENSG00000169914
PLA2G2E	1	19920008	19923617	3609	ENSG00000188784
PLA2G2A	1	19975430	19980416	4986	ENSG00000188257
PLA2G5	1	20028178	20091911	63733	ENSG00000127472
PLA2G2D	1	20111938	20119566	7628	ENSG00000117215
PLA2G2F	1	20139322	20150381	11059	ENSG00000158786
ENSG00000227066	1	20154170	20160568	6398	ENSG00000227066
